,PassengerId,Survived,Pclass,SibSp,Parch,Fare,Gender,AgeFill,AgeIsNull,FamilySize,Age*Class
236,237,0,2,1,0,26.0,1,44.0,0,1,88.0
237,238,1,2,0,2,26.25,0,8.0,0,2,16.0
238,239,0,2,0,0,10.5,1,19.0,0,0,38.0
239,240,0,2,0,0,12.275,1,33.0,0,0,66.0
240,241,0,3,1,0,14.4542,0,21.5,1,1,64.5
241,242,1,3,1,0,15.5,0,21.5,1,1,64.5
242,243,0,2,0,0,10.5,1,29.0,0,0,58.0
243,244,0,3,0,0,7.125,1,22.0,0,0,66.0
244,245,0,3,0,0,7.225,1,30.0,0,0,90.0
245,246,0,1,2,0,90.0,1,44.0,0,2,44.0
246,247,0,3,0,0,7.775,0,25.0,0,0,75.0
247,248,1,2,0,2,14.5,0,24.0,0,2,48.0
248,249,1,1,1,1,52.5542,1,37.0,0,2,37.0
249,250,0,2,1,0,26.0,1,54.0,0,1,108.0
250,251,0,3,0,0,7.25,1,25.0,1,0,75.0
251,252,0,3,1,1,10.4625,0,29.0,0,2,87.0
252,253,0,1,0,0,26.55,1,62.0,0,0,62.0
253,254,0,3,1,0,16.1,1,30.0,0,1,90.0
254,255,0,3,0,2,20.2125,0,41.0,0,2,123.0
255,256,1,3,0,2,15.2458,0,29.0,0,2,87.0
256,257,1,1,0,0,79.2,0,35.0,1,0,35.0
257,258,1,1,0,0,86.5,0,30.0,0,0,30.0
258,259,1,1,0,0,512.3292,0,35.0,0,0,35.0
259,260,1,2,0,1,26.0,0,50.0,0,1,100.0
260,261,0,3,0,0,7.75,1,25.0,1,0,75.0
261,262,1,3,4,2,31.3875,1,3.0,0,6,9.0
262,263,0,1,1,1,79.65,1,52.0,0,2,52.0
263,264,0,1,0,0,0.0,1,40.0,0,0,40.0
264,265,0,3,0,0,7.75,0,21.5,1,0,64.5
265,266,0,2,0,0,10.5,1,36.0,0,0,72.0
266,267,0,3,4,1,39.6875,1,16.0,0,5,48.0
267,268,1,3,1,0,7.775,1,25.0,0,1,75.0
268,269,1,1,0,1,153.4625,0,58.0,0,1,58.0
269,270,1,1,0,0,135.6333,0,35.0,0,0,35.0
270,271,0,1,0,0,31.0,1,40.0,1,0,40.0
271,272,1,3,0,0,0.0,1,25.0,0,0,75.0
272,273,1,2,0,1,19.5,0,41.0,0,1,82.0
273,274,0,1,0,1,29.7,1,37.0,0,1,37.0
274,275,1,3,0,0,7.75,0,21.5,1,0,64.5
275,276,1,1,1,0,77.9583,0,63.0,0,1,63.0
276,277,0,3,0,0,7.75,0,45.0,0,0,135.0
277,278,0,2,0,0,0.0,1,30.0,1,0,60.0
278,279,0,3,4,1,29.125,1,7.0,0,5,21.0
279,280,1,3,1,1,20.25,0,35.0,0,2,105.0
280,281,0,3,0,0,7.75,1,65.0,0,0,195.0
281,282,0,3,0,0,7.8542,1,28.0,0,0,84.0
282,283,0,3,0,0,9.5,1,16.0,0,0,48.0
283,284,1,3,0,0,8.05,1,19.0,0,0,57.0
284,285,0,1,0,0,26.0,1,40.0,1,0,40.0
285,286,0,3,0,0,8.6625,1,33.0,0,0,99.0
286,287,1,3,0,0,9.5,1,30.0,0,0,90.0
287,288,0,3,0,0,7.8958,1,22.0,0,0,66.0
288,289,1,2,0,0,13.0,1,42.0,0,0,84.0
289,290,1,3,0,0,7.75,0,22.0,0,0,66.0
290,291,1,1,0,0,78.85,0,26.0,0,0,26.0
291,292,1,1,1,0,91.0792,0,19.0,0,1,19.0
292,293,0,2,0,0,12.875,1,36.0,0,0,72.0
293,294,0,3,0,0,8.85,0,24.0,0,0,72.0
294,295,0,3,0,0,7.8958,1,24.0,0,0,72.0
295,296,0,1,0,0,27.7208,1,40.0,1,0,40.0
296,297,0,3,0,0,7.2292,1,23.5,0,0,70.5
297,298,0,1,1,2,151.55,0,2.0,0,3,2.0
298,299,1,1,0,0,30.5,1,40.0,1,0,40.0
299,300,1,1,0,1,247.5208,0,50.0,0,1,50.0
300,301,1,3,0,0,7.75,0,21.5,1,0,64.5
301,302,1,3,2,0,23.25,1,25.0,1,2,75.0
302,303,0,3,0,0,0.0,1,19.0,0,0,57.0
303,304,1,2,0,0,12.35,0,28.0,1,0,56.0
304,305,0,3,0,0,8.05,1,25.0,1,0,75.0
305,306,1,1,1,2,151.55,1,0.92,0,3,0.92
306,307,1,1,0,0,110.8833,0,35.0,1,0,35.0
307,308,1,1,1,0,108.9,0,17.0,0,1,17.0
308,309,0,2,1,0,24.0,1,30.0,0,1,60.0
309,310,1,1,0,0,56.9292,0,30.0,0,0,30.0
310,311,1,1,0,0,83.1583,0,24.0,0,0,24.0
311,312,1,1,2,2,262.375,0,18.0,0,4,18.0
312,313,0,2,1,1,26.0,0,26.0,0,2,52.0
313,314,0,3,0,0,7.8958,1,28.0,0,0,84.0
314,315,0,2,1,1,26.25,1,43.0,0,2,86.0
315,316,1,3,0,0,7.8542,0,26.0,0,0,78.0
316,317,1,2,1,0,26.0,0,24.0,0,1,48.0
317,318,0,2,0,0,14.0,1,54.0,0,0,108.0
318,319,1,1,0,2,164.8667,0,31.0,0,2,31.0
319,320,1,1,1,1,134.5,0,40.0,0,2,40.0
320,321,0,3,0,0,7.25,1,22.0,0,0,66.0
321,322,0,3,0,0,7.8958,1,27.0,0,0,81.0
322,323,1,2,0,0,12.35,0,30.0,0,0,60.0
323,324,1,2,1,1,29.0,0,22.0,0,2,44.0
324,325,0,3,8,2,69.55,1,25.0,1,10,75.0
325,326,1,1,0,0,135.6333,0,36.0,0,0,36.0
326,327,0,3,0,0,6.2375,1,61.0,0,0,183.0
327,328,1,2,0,0,13.0,0,36.0,0,0,72.0
328,329,1,3,1,1,20.525,0,31.0,0,2,93.0
329,330,1,1,0,1,57.9792,0,16.0,0,1,16.0
330,331,1,3,2,0,23.25,0,21.5,1,2,64.5
331,332,0,1,0,0,28.5,1,45.5,0,0,45.5
332,333,0,1,0,1,153.4625,1,38.0,0,1,38.0
333,334,0,3,2,0,18.0,1,16.0,0,2,48.0
334,335,1,1,1,0,133.65,0,35.0,1,1,35.0
335,336,0,3,0,0,7.8958,1,25.0,1,0,75.0
336,337,0,1,1,0,66.6,1,29.0,0,1,29.0
337,338,1,1,0,0,134.5,0,41.0,0,0,41.0
338,339,1,3,0,0,8.05,1,45.0,0,0,135.0
339,340,0,1,0,0,35.5,1,45.0,0,0,45.0
340,341,1,2,1,1,26.0,1,2.0,0,2,4.0
341,342,1,1,3,2,263.0,0,24.0,0,5,24.0
342,343,0,2,0,0,13.0,1,28.0,0,0,56.0
343,344,0,2,0,0,13.0,1,25.0,0,0,50.0
344,345,0,2,0,0,13.0,1,36.0,0,0,72.0
345,346,1,2,0,0,13.0,0,24.0,0,0,48.0
346,347,1,2,0,0,13.0,0,40.0,0,0,80.0
347,348,1,3,1,0,16.1,0,21.5,1,1,64.5
348,349,1,3,1,1,15.9,1,3.0,0,2,9.0
349,350,0,3,0,0,8.6625,1,42.0,0,0,126.0
350,351,0,3,0,0,9.225,1,23.0,0,0,69.0
351,352,0,1,0,0,35.0,1,40.0,1,0,40.0
352,353,0,3,1,1,7.2292,1,15.0,0,2,45.0
353,354,0,3,1,0,17.8,1,25.0,0,1,75.0
354,355,0,3,0,0,7.225,1,25.0,1,0,75.0
355,356,0,3,0,0,9.5,1,28.0,0,0,84.0
356,357,1,1,0,1,55.0,0,22.0,0,1,22.0
357,358,0,2,0,0,13.0,0,38.0,0,0,76.0
358,359,1,3,0,0,7.8792,0,21.5,1,0,64.5
359,360,1,3,0,0,7.8792,0,21.5,1,0,64.5
360,361,0,3,1,4,27.9,1,40.0,0,5,120.0
361,362,0,2,1,0,27.7208,1,29.0,0,1,58.0
362,363,0,3,0,1,14.4542,0,45.0,0,1,135.0
363,364,0,3,0,0,7.05,1,35.0,0,0,105.0
364,365,0,3,1,0,15.5,1,25.0,1,1,75.0
365,366,0,3,0,0,7.25,1,30.0,0,0,90.0
366,367,1,1,1,0,75.25,0,60.0,0,1,60.0
367,368,1,3,0,0,7.2292,0,21.5,1,0,64.5
368,369,1,3,0,0,7.75,0,21.5,1,0,64.5
369,370,1,1,0,0,69.3,0,24.0,0,0,24.0
370,371,1,1,1,0,55.4417,1,25.0,0,1,25.0
371,372,0,3,1,0,6.4958,1,18.0,0,1,54.0
372,373,0,3,0,0,8.05,1,19.0,0,0,57.0
373,374,0,1,0,0,135.6333,1,22.0,0,0,22.0
374,375,0,3,3,1,21.075,0,3.0,0,4,9.0
375,376,1,1,1,0,82.1708,0,35.0,1,1,35.0
376,377,1,3,0,0,7.25,0,22.0,0,0,66.0
377,378,0,1,0,2,211.5,1,27.0,0,2,27.0
378,379,0,3,0,0,4.0125,1,20.0,0,0,60.0
379,380,0,3,0,0,7.775,1,19.0,0,0,57.0
380,381,1,1,0,0,227.525,0,42.0,0,0,42.0
381,382,1,3,0,2,15.7417,0,1.0,0,2,3.0
382,383,0,3,0,0,7.925,1,32.0,0,0,96.0
383,384,1,1,1,0,52.0,0,35.0,0,1,35.0
384,385,0,3,0,0,7.8958,1,25.0,1,0,75.0
385,386,0,2,0,0,73.5,1,18.0,0,0,36.0
386,387,0,3,5,2,46.9,1,1.0,0,7,3.0
387,388,1,2,0,0,13.0,0,36.0,0,0,72.0
388,389,0,3,0,0,7.7292,1,25.0,1,0,75.0
389,390,1,2,0,0,12.0,0,17.0,0,0,34.0
390,391,1,1,1,2,120.0,1,36.0,0,3,36.0
391,392,1,3,0,0,7.7958,1,21.0,0,0,63.0
392,393,0,3,2,0,7.925,1,28.0,0,2,84.0
393,394,1,1,1,0,113.275,0,23.0,0,1,23.0
394,395,1,3,0,2,16.7,0,24.0,0,2,72.0
395,396,0,3,0,0,7.7958,1,22.0,0,0,66.0
396,397,0,3,0,0,7.8542,0,31.0,0,0,93.0
397,398,0,2,0,0,26.0,1,46.0,0,0,92.0
398,399,0,2,0,0,10.5,1,23.0,0,0,46.0
399,400,1,2,0,0,12.65,0,28.0,0,0,56.0
400,401,1,3,0,0,7.925,1,39.0,0,0,117.0
401,402,0,3,0,0,8.05,1,26.0,0,0,78.0
402,403,0,3,1,0,9.825,0,21.0,0,1,63.0
403,404,0,3,1,0,15.85,1,28.0,0,1,84.0
404,405,0,3,0,0,8.6625,0,20.0,0,0,60.0
405,406,0,2,1,0,21.0,1,34.0,0,1,68.0
406,407,0,3,0,0,7.75,1,51.0,0,0,153.0
407,408,1,2,1,1,18.75,1,3.0,0,2,6.0
408,409,0,3,0,0,7.775,1,21.0,0,0,63.0
409,410,0,3,3,1,25.4667,0,21.5,1,4,64.5
410,411,0,3,0,0,7.8958,1,25.0,1,0,75.0
411,412,0,3,0,0,6.8583,1,25.0,1,0,75.0
412,413,1,1,1,0,90.0,0,33.0,0,1,33.0
413,414,0,2,0,0,0.0,1,30.0,1,0,60.0
414,415,1,3,0,0,7.925,1,44.0,0,0,132.0
415,416,0,3,0,0,8.05,0,21.5,1,0,64.5
416,417,1,2,1,1,32.5,0,34.0,0,2,68.0
417,418,1,2,0,2,13.0,0,18.0,0,2,36.0
418,419,0,2,0,0,13.0,1,30.0,0,0,60.0
419,420,0,3,0,2,24.15,0,10.0,0,2,30.0
420,421,0,3,0,0,7.8958,1,25.0,1,0,75.0
421,422,0,3,0,0,7.7333,1,21.0,0,0,63.0
422,423,0,3,0,0,7.875,1,29.0,0,0,87.0
423,424,0,3,1,1,14.4,0,28.0,0,2,84.0
424,425,0,3,1,1,20.2125,1,18.0,0,2,54.0
425,426,0,3,0,0,7.25,1,25.0,1,0,75.0
426,427,1,2,1,0,26.0,0,28.0,0,1,56.0
427,428,1,2,0,0,26.0,0,19.0,0,0,38.0
428,429,0,3,0,0,7.75,1,25.0,1,0,75.0
429,430,1,3,0,0,8.05,1,32.0,0,0,96.0
430,431,1,1,0,0,26.55,1,28.0,0,0,28.0
431,432,1,3,1,0,16.1,0,21.5,1,1,64.5
432,433,1,2,1,0,26.0,0,42.0,0,1,84.0
433,434,0,3,0,0,7.125,1,17.0,0,0,51.0
434,435,0,1,1,0,55.9,1,50.0,0,1,50.0
435,436,1,1,1,2,120.0,0,14.0,0,3,14.0
436,437,0,3,2,2,34.375,0,21.0,0,4,63.0
437,438,1,2,2,3,18.75,0,24.0,0,5,48.0
438,439,0,1,1,4,263.0,1,64.0,0,5,64.0
439,440,0,2,0,0,10.5,1,31.0,0,0,62.0
440,441,1,2,1,1,26.25,0,45.0,0,2,90.0
441,442,0,3,0,0,9.5,1,20.0,0,0,60.0
442,443,0,3,1,0,7.775,1,25.0,0,1,75.0
443,444,1,2,0,0,13.0,0,28.0,0,0,56.0
444,445,1,3,0,0,8.1125,1,25.0,1,0,75.0
445,446,1,1,0,2,81.8583,1,4.0,0,2,4.0
446,447,1,2,0,1,19.5,0,13.0,0,1,26.0
447,448,1,1,0,0,26.55,1,34.0,0,0,34.0
448,449,1,3,2,1,19.2583,0,5.0,0,3,15.0
449,450,1,1,0,0,30.5,1,52.0,0,0,52.0
450,451,0,2,1,2,27.75,1,36.0,0,3,72.0
451,452,0,3,1,0,19.9667,1,25.0,1,1,75.0
452,453,0,1,0,0,27.75,1,30.0,0,0,30.0
453,454,1,1,1,0,89.1042,1,49.0,0,1,49.0
454,455,0,3,0,0,8.05,1,25.0,1,0,75.0
455,456,1,3,0,0,7.8958,1,29.0,0,0,87.0
456,457,0,1,0,0,26.55,1,65.0,0,0,65.0
